date_date,global_note,csat_website,csat_product,csat_price,csat_delivery,orders_id,transporter,sgt
2021-04-30,8,,,,,857684,Chrono Pickup,new
2021-04-30,10,,,,,858076,Chrono Pickup,new
2021-04-30,10,,,,,858008,Chrono Pickup,new
2021-04-30,10,,,,,858322,Chrono Pickup,new
2021-04-30,10,,,,,859122,Chrono Pickup,new
2021-05-03,10,,,,,859129,Chrono Pickup,new
2021-05-03,10,,,,,859358,Chrono Pickup,new
2021-05-04,10,,,,,859955,DPD Home,new
2021-05-04,10,,,,,860769,Chrono Pickup,new
2021-05-04,10,,,,,859624,DPD Home,new
2021-05-06,10,,,,,864041,DPD Home,new
2021-05-06,3,,,,,862447,DPD Home,new
2021-05-10,10,,,,,868069,Chrono Home,new
2021-05-10,10,,,,,869142,Chrono Pickup,new
2021-05-11,9,,,,,852186,DPD Pickup,new
2021-05-11,6,,,,,868994,DPD Home,new
2021-05-11,7,,,,,862667,DPD Home,new
2021-05-12,10,,,,,870778,Chrono Pickup,new
2021-05-12,10,,,,,870847,Chrono Pickup,new
2021-05-12,8,,,,,869452,Chrono Pickup,new
2021-05-12,10,,3,2,,869259,DPD Home,new
2021-05-13,8,,,,1,870599,DPD Pickup,new
2021-05-15,9,,,,,871411,DPD Pickup,new
2021-05-15,10,,2,2,,874603,DPD Home,new
2021-05-16,10,,,5,5,874284,Chrono Pickup,new
2021-05-17,10,,,,,660121,Chrono Pickup,new
2021-05-18,2,,,,,877031,Chrono Pickup,new
2021-05-18,8,,,,,876799,DPD Home,new
2021-05-18,10,,,,,876143,Chrono Pickup,new
2021-05-19,7,,,,,878648,Chrono Pickup,new
2021-05-19,9,,,,,879017,Chrono Pickup,new
2021-05-19,,,,,,871745,DPD Home,new
2021-05-20,9,,,,,880170,DPD Pickup,new
2021-05-21,10,,,,,881891,Chrono Pickup,new
2021-05-21,10,,,,,881325,DPD Home,new
2021-05-22,10,,,,,882611,Chrono Pickup,new
2021-05-22,10,,,,,882175,Chrono Pickup,new
2021-05-26,9,,,,,883697,Chrono Pickup,new
2021-05-26,10,,,,,884318,Chrono Pickup,new
2021-05-27,10,,,,,883818,DPD Home,new
2021-05-28,8,,,,,888103,Chrono Pickup,new
2021-06-01,10,,,,,890025,Chrono Pickup,new
2021-06-01,9,,,,,886318,Chrono Pickup,new
2021-06-04,9,,,,,895673,Chrono Home,new
2021-06-04,10,,,,,893868,DPD Home,new
2021-06-05,10,,,,,896127,Chrono Pickup,new
2021-06-05,8,,,,,895119,Chrono Pickup,new
2021-06-06,8,,,,,885068,DPD Home,new
2021-06-08,8,,,,,893729,DPD Home,new
2021-06-08,7,,,,,894616,DPD Pickup,new
2021-06-08,9,,4,4,4,897041,Chrono Pickup,new
2021-06-09,3,,,,,900827,Chrono Home,new
2021-06-10,,,,4,,898232,Chrono Pickup,new
2021-06-11,9,,,,,889275,DPD Pickup,new
2021-06-11,10,,5,4,4,897258,DPD Pickup,new
2021-06-13,10,,,,5,897447,DPD Home,new
2021-06-14,8,,,,,898375,DPD Home,new
2021-06-16,0,,,,,901850,Chrono Home,new
2021-06-16,8,,,,,904644,DPD Pickup,new
2021-06-16,9,,1,,,904687,DPD Home,new
2021-06-18,8,,,,,906866,DPD Pickup,new
2021-06-18,10,,,,,905737,DPD Home,new
2021-06-18,8,,,,,907001,Chrono Pickup,new
2021-06-19,10,,,,,909423,DPD Home,new
2021-06-22,8,,,,,907949,DPD Pickup,new
2021-06-23,10,,,,,911831,Chrono Pickup,new
2021-06-23,5,,,,3,910442,Chrono Pickup,new
2021-06-24,10,,,,,912592,Chrono Pickup,new
2021-06-24,10,,,,,912408,DPD Home,new
2021-06-25,8,,,,,915031,Chrono Home,new
2021-06-30,9,,,,,917520,DPD Pickup,new
2021-07-01,8,,,,,916734,DPD Pickup,new
2021-07-02,9,,,4,5,916759,DPD Pickup,new
2021-07-04,9,,,,,921343,Chrono Pickup,new
2021-07-06,8,,,,,922907,Chrono Pickup,new
2021-07-06,2,,,,,919744,DPD Pickup,new
2021-07-07,2,,,,,921723,DPD Home,new
2021-07-07,10,,,3,1,921858,DPD Home,new
2021-07-10,9,,,,,929960,Chrono Pickup,new
2021-07-10,10,,,,,925594,Chrono Pickup,new
2021-07-12,5,,5,3,5,929261,DPD Home,new
2021-07-13,9,,5,,,931046,DPD Home,new
2021-07-13,10,,,,,931225,Chrono Pickup,new
2021-07-14,10,,,,,930197,DPD Home,new
2021-07-15,10,,,,,931373,DPD Home,new
2021-07-15,10,,,,,932769,Chrono Pickup,new
2021-07-16,10,,,,,931143,Chrono Pickup,new
2021-07-16,0,,,,,931102,Chrono Pickup,new
2021-07-16,0,,,,,933241,Chrono Pickup,new
2021-07-19,10,,,,,931630,DPD Pickup,new
2021-07-19,10,,,,,935348,Chrono Pickup,new
2021-07-20,9,,,,,934376,DPD Pickup,new
2021-07-22,9,,,,,935569,DPD Home,new
2021-07-22,10,,,,,938208,Chrono Pickup,new
2021-07-23,10,,,,,937242,DPD Home,new
2021-07-24,10,,,,,940078,Chrono Pickup,new
2021-07-25,5,,,,,934786,DPD Pickup,new
2021-07-28,3,,3,3,1,938442,DPD Pickup,new
2021-07-28,0,,,5,,942994,DPD Pickup,new
2021-07-29,10,,3,,,942157,DPD Home,new
2021-07-29,10,,,,,943643,DPD Home,new
2021-07-31,5,,,,,945938,DPD Home,new
2021-07-31,5,,,,,943183,Chrono Home,new
