date_date,orders_id,products_id,customers_id,category_1,category_2,category_3,code,promo_name,turnover_before_promo,turnover,purchase_cost,qty
2021-04-08,835034,121349,315,Epicerie sucrée,Fruits secs,Fruit séché,HAPPEEZCLUB,,2.0,2.0,1.33,1
2021-05-05,867868,121349,16501,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-05-07,869391,121349,164762,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-05-09,871447,121349,287617,Epicerie sucrée,Fruits secs,Fruit séché,BIENVENUE21,,2.0,2.0,1.33,1
2021-06-06,899106,121349,19583,Epicerie sucrée,Fruits secs,Fruit séché,GREENCNL,,2.0,2.0,1.33,1
2021-08-17,962407,121349,175490,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-04-30,860734,121349,165479,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-05-11,874403,121349,11343,Epicerie sucrée,Fruits secs,Fruit séché,,Commerce equitable ! ,2.0,1.8,1.33,1
2021-07-28,946475,121349,44802,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-07-14,934677,121349,179990,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-08-23,968364,121349,168328,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-04-11,838469,121349,30569,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-05-15,877727,121349,214724,Epicerie sucrée,Fruits secs,Fruit séché,GREENCOUR,Commerce equitable ! ,2.0,1.8,1.33,1
2021-04-26,856302,121349,283718,Epicerie sucrée,Fruits secs,Fruit séché,PREMIERE,,2.0,2.0,1.33,1
2021-05-06,869007,121349,170965,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-04-04,828603,121349,168535,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-04-13,840988,121349,279613,Epicerie sucrée,Fruits secs,Fruit séché,BIENVENUE21,,2.0,2.0,1.33,1
2021-06-12,904727,121349,12535,Epicerie sucrée,Fruits secs,Fruit séché,GREENCNL,,2.0,2.0,1.33,1
2021-07-06,927703,121349,51146,Epicerie sucrée,Fruits secs,Fruit séché,,,2.0,2.0,1.33,1
2021-08-31,975111,121349,175490,Epicerie sucrée,Fruits secs,Fruit séché,,C'est la rentree,2.0,1.9,1.33,1
2021-06-30,921271,121349,78764,Epicerie sucrée,Fruits secs,Fruit séché,HAPPYHOUR,,2.0,2.0,1.33,1
2021-08-24,968802,121349,239830,Epicerie sucrée,Fruits secs,Fruit séché,GREENBEAUTY,,2.0,2.0,1.33,1
2021-06-08,901691,79888,143229,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-17,909525,79888,71079,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-06,898617,79888,155797,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WEEZCLUB,Hipp 2021,2.0,1.7,1.48,1
2021-06-10,903672,79888,149310,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",GREENCNL,Hipp 2021,2.0,1.7,1.48,1
2021-06-23,914288,79888,189622,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",GREENCOUCHES,Hipp 2021,2.0,1.7,1.48,1
2021-06-03,895471,79888,128547,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-29,919344,79888,108231,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-23,914680,79888,214545,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-02,894353,79888,292850,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WELCOME21,Hipp 2021,2.0,1.7,1.48,1
2021-06-28,919074,79888,199704,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WEEZCLUB,Hipp 2021,2.0,1.7,1.48,1
2021-06-30,921703,79888,101675,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",HAPPYHOUR,Hipp 2021,2.0,1.7,1.48,1
2021-06-21,913102,79888,35665,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-29,919334,79888,179869,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-17,909283,79888,296056,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WELCOME21,Hipp 2021,2.0,1.7,1.48,1
2021-06-02,894802,79888,258351,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-14,907154,79888,251969,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-28,918949,79888,163210,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-06,898727,79888,286229,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-14,906559,79888,243698,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-17,909358,79888,296069,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WELCOME21,Hipp 2021,2.0,1.7,1.48,1
2021-06-07,899969,79888,294035,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",WELCOME21,Hipp 2021,2.0,1.7,1.48,1
2021-06-21,913176,79888,285005,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-26,916354,79888,297509,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-17,909635,79888,270881,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",,Hipp 2021,2.0,1.7,1.48,1
2021-06-26,916636,79888,27971,Bébé & Enfant,Alimentation bébé,"Petits pots viande, poisson",HAPPEEZCLUB,Hipp 2021,2.0,1.7,1.48,1
2021-04-23,852599,79902,210911,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",,,2.0,2.0,1.01,1
2021-04-13,841894,79902,279888,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",BIENVENUE21,,2.0,2.0,1.01,1
2021-05-04,865739,79902,176213,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",,,2.0,2.0,1.01,1
2021-04-28,859031,79902,162710,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",,,2.0,2.0,1.01,1
2021-04-07,833538,79902,210911,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",,,2.0,2.0,1.01,1
2021-05-02,863362,79902,278101,Bébé & Enfant,Alimentation bébé,"Goûters, biscuits bébé",,,2.0,2.0,1.01,1
